group,movie_imdb_link,Cast FB Likes,name,Actor 1 FB Likes,Number of Voted Users,Director FB Likes,Number of Critic for Reviews,Number of Users for Reviews,Budget,Domestic Gross,Imdb Score
Adventure Action,http://www.imdb.com/title/tt0111280/?ref_=fn_tt_tt_1,6427,"StarTrekGenerations, director: David Carson",1000,60504,18,98,249,78418157.56,156157919.6,6.6
Adventure Action,http://www.imdb.com/title/tt0193560/?ref_=fn_tt_tt_1,2120,"TexasRangers, director: Steve Miner",1000,4757,49,31,67,62901174.29,1031867.28,5.2
Comedy Drama,http://www.imdb.com/title/tt0325537/?ref_=fn_tt_tt_1,4537,"HeadofState, director: Chris Rock",1000,15046,0,44,80,54708955.78,58731661.78,5.4
Comedy Drama,http://www.imdb.com/title/tt0372237/?ref_=fn_tt_tt_1,2689,"GuessWho, director: Kevin Rodney Sullivan",1000,33887,8,104,160,51076886,100571684.4,5.9
Drama,http://www.imdb.com/title/tt0316465/?ref_=fn_tt_tt_1,4231,"Radio, director: Michael Tollin",1000,32370,19,74,196,54398109.44,81338754.49,6.9
Comedy Drama,http://www.imdb.com/title/tt1212436/?ref_=fn_tt_tt_1,3356,"TheBackupPlan, director: Alan Poul",1000,40654,16,148,97,43634090.23,46738352.81,5.3
Comedy,http://www.imdb.com/title/tt0265087/?ref_=fn_tt_tt_1,2643,"BlackKnight, director: Gil Junger",1000,30771,19,46,164,57935292.11,55324572.25,4.8
Horror,http://www.imdb.com/title/tt0790686/?ref_=fn_tt_tt_1,3185,"Mirrors, director: Alexandre Aja",1000,86205,192,208,232,46471353.32,40750648.73,6.2
Animation,http://www.imdb.com/title/tt0361089/?ref_=fn_tt_tt_1,1908,"Valiant, director: Gary Chapman",1000,15788,2,93,80,51076886,28425171.42,5.6
Comedy,http://www.imdb.com/title/tt0426592/?ref_=fn_tt_tt_1,3266,"SuperheroMovie, director: Craig Mazin",1000,52052,82,121,173,46471353.32,35369373.56,4.5
Thriller Drama,http://www.imdb.com/title/tt1235522/?ref_=fn_tt_tt_1,2073,"BrokenCity, director: Allen Hughes",1000,63548,90,298,134,39699664.22,22346559.87,6.2
Horror,http://www.imdb.com/title/tt0257516/?ref_=fn_tt_tt_1,2535,"Cursed, director: Wes Craven",1000,26126,0,158,325,51076886,28157813.11,5
Thriller Drama,http://www.imdb.com/title/tt0365929/?ref_=fn_tt_tt_1,1947,"Whiteout, director: Dominic Sena",1000,31918,57,166,142,45030381.12,13220454.15,5.5
Thriller Drama,http://www.imdb.com/title/tt1742334/?ref_=fn_tt_tt_1,1458,"Sabotage, director: David Ayer",1000,47498,453,233,212,38468666.88,11549962.24,5.7
Thriller Drama,http://www.imdb.com/title/tt0120152/?ref_=fn_tt_tt_1,3125,"SmillasSenseofSnow, director: Bille August",1000,11747,55,50,99,65714618.38,4171928.221,6.4
Comedy Drama,http://www.imdb.com/title/tt2358925/?ref_=fn_tt_tt_1,1564,"UnfinishedBusiness, director: Ken Scott",1000,23072,31,90,89,37275840,10884013.83,5.4
Comedy Drama,http://www.imdb.com/title/tt1655460/?ref_=fn_tt_tt_1,4151,"Wanderlust, director: David Wain",1000,62198,136,163,139,38043621.08,20237046.71,5.6
Action,http://www.imdb.com/title/tt1053424/?ref_=fn_tt_tt_1,2925,"RepoMen, director: Miguel Sapochnik",1000,87768,238,197,187,39894025.36,17381336.9,6.3
Comedy,http://www.imdb.com/title/tt0101272/?ref_=fn_tt_tt_1,3696,"TheAddamsFamily, director: Barry Sonnenfeld",1000,96607,188,55,125,68044555.95,257440331,6.8
Thriller Drama,http://www.imdb.com/title/tt0430105/?ref_=fn_tt_tt_1,2740,"FourBrothers, director: John Singleton",1000,109894,309,123,340,43780188,108712600.2,6.9
Comedy Family,http://www.imdb.com/title/tt0308506/?ref_=fn_tt_tt_1,3679,"LikeMike, director: John Schultz",1000,15074,13,39,72,48119013.38,82495915.02,5.1
Adventure Action,http://www.imdb.com/title/tt0090264/?ref_=fn_tt_tt_1,2943,"AViewtoaKill, director: John Glen",1000,68565,46,108,300,82199952.78,137898531.2,6.3
Drama,http://www.imdb.com/title/tt0446046/?ref_=fn_tt_tt_1,3797,"TaketheLead, director: Liz Friedlander",1000,21767,3,101,127,42422662.79,49128365.02,6.7
Comedy Drama,http://www.imdb.com/title/tt0161083/?ref_=fn_tt_tt_1,3664,"WhatstheWorstThatCouldHappen, director: Sam Weisman",1000,12466,39,64,84,49658821.81,53412654.64,5.5
Comedy Drama,http://www.imdb.com/title/tt0361841/?ref_=fn_tt_tt_1,4369,"LittleBlackBook, director: Nick Hurran",1000,15052,34,73,116,45181154.02,30756629.33,5.2
Comedy Drama,http://www.imdb.com/title/tt0339412/?ref_=fn_tt_tt_1,4462,"Mr, director: Charles Stone III",1000,12164,30,63,63,45181154.02,32832093.41,5.5
Comedy,http://www.imdb.com/title/tt0091225/?ref_=fn_tt_tt_1,3000,"HowardtheDuck, director: Willard Huyck",1000,33669,8,81,269,79651117.03,43265886.73,4.6
Thriller Drama,http://www.imdb.com/title/tt0482572/?ref_=fn_tt_tt_1,5101,"PrideandGlory, director: Gavin O'Connor",1000,53053,149,154,132,39832588.56,20899788.77,6.7
Animation,http://www.imdb.com/title/tt0844993/?ref_=fn_tt_tt_1,5393,"HoodwinkedTooHoodvsEvil, director: Mike Disa",1000,9682,6,77,38,36240938.73,12254002.44,4.8
Thriller Drama,http://www.imdb.com/title/tt0265651/?ref_=fn_tt_tt_1,1831,"RipleysGame, director: Liliana Cavani",1000,14618,59,56,108,46626950.95,0,6.7
Adventure Fantasy,http://www.imdb.com/title/tt0118755/?ref_=fn_tt_tt_1,2056,"TheBorrowers, director: Peter Hewitt",1000,16222,12,42,39,52760906.23,41152759.11,5.8
Horror,http://www.imdb.com/title/tt0387575/?ref_=fn_tt_tt_1,2567,"SeedofChucky, director: Don Mancini",1000,28632,64,148,214,43675115.55,25627036.71,4.9
Thriller Drama,http://www.imdb.com/title/tt0366627/?ref_=fn_tt_tt_1,5085,"TheJacket, director: John Maybury",1000,92850,11,161,263,41591178.6,9195489.994,7.1
Thriller Drama,http://www.imdb.com/title/tt0309698/?ref_=fn_tt_tt_1,3969,"Identity, director: James Mangold",1000,177828,446,136,714,43518487.55,81024062.98,7.3
Comedy,http://www.imdb.com/title/tt1273678/?ref_=fn_tt_tt_1,3436,"TheSpyNextDoor, director: Brian Levant",1000,29971,32,97,71,34907272.19,30303384.47,5.4
Comedy Family,http://www.imdb.com/title/tt0120133/?ref_=fn_tt_tt_1,5535,"ASimpleWish, director: Michael Ritchie",1000,4288,23,21,21,52571694.7,15330681.61,5.4
Comedy,http://www.imdb.com/title/tt0080455/?ref_=fn_tt_tt_1,2566,"TheBluesBrothers, director: John Landis",1000,142448,644,125,319,86598937.57,183557321.1,7.9
Comedy Drama,http://www.imdb.com/title/tt1710396/?ref_=fn_tt_tt_1,3389,"JoyfulNoise, director: Todd Graff",1000,6476,650,98,71,32190756.3,36208294.96,5.7
Comedy,http://www.imdb.com/title/tt0139414/?ref_=fn_tt_tt_1,3313,"LakePlacid, director: Steve Miner",1000,42761,49,152,366,47599053.33,56008947.51,5.6
Horror,http://www.imdb.com/title/tt0297284/?ref_=fn_tt_tt_1,4186,"Mindhunters, director: Renny Harlin",1000,49405,212,127,226,39402169.2,6532346.995,6.4
Comedy Drama,http://www.imdb.com/title/tt0138097/?ref_=fn_tt_tt_1,1690,"ShakespeareinLove, director: John Madden",1000,175524,108,134,752,47302881.45,182512335.2,7.2
Comedy Drama,http://www.imdb.com/title/tt0120631/?ref_=fn_tt_tt_1,2747,"EverAfterACinderellaStory, director: Andy Tennant",1000,57958,72,92,345,47302881.45,119541244,7
Comedy,http://www.imdb.com/title/tt0190590/?ref_=fn_tt_tt_1,3066,"OBrotherWhereArtThou, director: Joel Coen",1000,225102,0,197,862,44414850.22,77737294.89,7.8
Mixed,http://www.imdb.com/title/tt0358349/?ref_=fn_tt_tt_1,3742,"AgentCodyBanksDestinationLondon, director: Kevin Allen",1000,11092,8,55,44,39157000.15,35413360.51,4.5
Thriller Drama,http://www.imdb.com/title/tt0115710/?ref_=fn_tt_tt_1,2228,"BloodandWine, director: Bob Rafelson",1000,7772,30,42,55,48816573.65,2034055.195,6.1
Adventure Action,http://www.imdb.com/title/tt1224378/?ref_=fn_tt_tt_1,1166,"Viy, director: Oleg Stepchenko",1000,3170,0,25,18,27690624,0,5.4
Comedy,http://www.imdb.com/title/tt0313911/?ref_=fn_tt_tt_1,3037,"AgentCodyBanks, director: Harald Zwart",1000,26755,91,79,104,38855792.46,73896039.35,5
Drama,http://www.imdb.com/title/tt0093389/?ref_=fn_tt_tt_1,2451,"TheLastEmperor, director: Bernardo Bertolucci",1000,70274,973,75,133,64317762.46,113160637.8,7.8
Animation,http://www.imdb.com/title/tt0282120/?ref_=fn_tt_tt_1,2908,"TheWildThornberrysMovie, director: Cathy Malkasian",1000,12218,0,38,33,40099177.82,64333030.92,5.2
Comedy Drama,http://www.imdb.com/title/tt0388500/?ref_=fn_tt_tt_1,3535,"BeautyShop, director: Bille Woodruff",1000,13194,23,72,59,36483490,53048964.57,5.5
Comedy Drama,http://www.imdb.com/title/tt0452625/?ref_=fn_tt_tt_1,2822,"GoodLuckChuck, director: Mark Helfrich",1000,74622,7,127,150,34256026.16,47982137.68,5.6
Comedy Family,http://www.imdb.com/title/tt0120185/?ref_=fn_tt_tt_1,2176,"SpiceWorld, director: Bob Spiers",1000,28377,14,33,261,45483539.85,53384198.1,3.3
Adventure Action,http://www.imdb.com/title/tt1233301/?ref_=fn_tt_tt_1,3287,"Ironclad, director: Jonathan English",1000,34338,9,91,103,30200782.28,0,6.2
Comedy,http://www.imdb.com/title/tt0238948/?ref_=fn_tt_tt_1,2557,"DoubleTake, director: George Gallo",1000,5431,269,45,50,39727057.45,49366102.92,5.3
Comedy Drama,http://www.imdb.com/title/tt0217756/?ref_=fn_tt_tt_1,4971,"ReadytoRumble, director: Brian Robbins",1000,11709,48,51,101,40998323.28,21135336.04,5.3
Horror,http://www.imdb.com/title/tt0195714/?ref_=fn_tt_tt_1,3345,"FinalDestination, director: James Wong",1000,181058,70,211,674,48321251.64,51447205.36,6.7
Thriller Drama,http://www.imdb.com/title/tt0102005/?ref_=fn_tt_tt_1,3671,"HarleyDavidsonandtheMarlboroMan, director: Simon Wincer",1000,14473,23,30,81,52167492.9,15919080.57,6
Comedy,http://www.imdb.com/title/tt0094012/?ref_=fn_tt_tt_1,2936,"Spaceballs, director: Mel Brooks",1000,136667,0,103,273,58400528.31,98070394.11,7.1
Action,http://www.imdb.com/title/tt0107978/?ref_=fn_tt_tt_1,3148,"RoboCop, director: Fred Dekker",1000,35018,87,75,180,131892572.2,64415240.83,3.9
Thriller Drama,http://www.imdb.com/title/tt0465538/?ref_=fn_tt_tt_1,3284,"MichaelClayton, director: Tony Gilroy",1000,133367,209,299,363,29460182.5,67188237.78,7.3
Drama,http://www.imdb.com/title/tt1405500/?ref_=fn_tt_tt_1,6035,"ForColoredGirls, director: Tyler Perry",1000,6067,0,75,73,26180454.14,47037172.77,6
Comedy Drama,http://www.imdb.com/title/tt1027862/?ref_=fn_tt_tt_1,6212,"SwingVote, director: Joshua Michael Stern",1000,15079,0,131,79,27882811.99,21628918.99,6.1
Comedy Drama,http://www.imdb.com/title/tt0083642/?ref_=fn_tt_tt_1,3688,"TheBestLittleWhorehouseinTexas, director: Colin Higgins",1000,7748,19,11,48,61736679.35,209909639.7,5.8
Horror,http://www.imdb.com/title/tt0120907/?ref_=fn_tt_tt_1,2990,"eXistenZ, director: David Cronenberg",1000,77493,0,196,527,36492607.56,5007450.38,6.8
Comedy Drama,http://www.imdb.com/title/tt0305669/?ref_=fn_tt_tt_1,2505,"BringingDowntheHouse, director: Adam Shankman",1000,30058,163,121,236,31084633.97,206208315.4,5.5
Comedy Drama,http://www.imdb.com/title/tt0105793/?ref_=fn_tt_tt_1,4263,"WaynesWorld, director: Penelope Spheeris",1000,114610,122,61,176,43956431.49,267469002.1,7
Adventure Action,http://www.imdb.com/title/tt0113855/?ref_=fn_tt_tt_1,3816,"MortalKombat, director: Paul W.S. Anderson",1000,81783,545,72,283,39992940.41,140841592.5,5.8
Comedy Drama,http://www.imdb.com/title/tt0381707/?ref_=fn_tt_tt_1,6313,"WhiteChicks, director: Keenen Ivory Wayans",1000,98794,322,62,251,30120769.35,104141049.5,5.4
Drama,http://www.imdb.com/title/tt1020072/?ref_=fn_tt_tt_1,3869,"Selma, director: Ava DuVernay",1000,61114,151,364,212,21982095.36,57237977.89,7.5
Adventure Fantasy,http://www.imdb.com/title/tt3369806/?ref_=fn_tt_tt_1,2851,"Max, director: Boaz Yakin",1000,18915,132,61,87,21300480,45429935.33,6.8
Thriller Drama,http://www.imdb.com/title/tt0947802/?ref_=fn_tt_tt_1,2382,"LakeviewTerrace, director: Neil LaBute",1000,40469,119,165,135,26555059.04,52132235.99,6.1
Thriller Drama,http://www.imdb.com/title/tt1226753/?ref_=fn_tt_tt_1,1136,"TheDebt, director: John Madden",1000,55441,108,258,165,24160625.82,37663453.56,6.9
Comedy Drama,http://www.imdb.com/title/tt0146882/?ref_=fn_tt_tt_1,3141,"HighFidelity, director: Stephen Frears",1000,143137,350,174,602,34165269.4,46596396.63,7.6
Thriller Drama,http://www.imdb.com/title/tt0116260/?ref_=fn_tt_tt_1,3174,"EyeforanEye, director: John Schlesinger",1000,9845,154,31,77,38752849.24,51914673.19,6.1
Horror,http://www.imdb.com/title/tt0441796/?ref_=fn_tt_tt_1,3590,"StayAlive, director: William Brent Bell",1000,25870,19,112,281,28281775.2,32646331.87,5.1
Comedy Drama,http://www.imdb.com/title/tt0114681/?ref_=fn_tt_tt_1,3598,"ToDieFor, director: Gus Van Sant",1000,34774,835,59,162,39992940.41,42561515.01,6.8
Comedy Drama,http://www.imdb.com/title/tt1046163/?ref_=fn_tt_tt_1,3301,"MyBestFriendsGirl, director: Howard Deutch",1000,36983,41,80,100,26555059.04,25518415.92,5.9
Comedy Family,http://www.imdb.com/title/tt0124879/?ref_=fn_tt_tt_1,1816,"SimonBirch, director: Mark Steven Johnson",1000,18366,160,60,219,36386831.88,33209197.14,6.9
News,http://www.imdb.com/title/tt1232207/?ref_=fn_tt_tt_1,2327,"CapitalismALoveStory, director: Michael Moore",1000,35137,909,222,188,25731646.35,18479692.6,7.4
Comedy Drama,http://www.imdb.com/title/tt0326856/?ref_=fn_tt_tt_1,1189,"Envy, director: Barry Levinson",1000,26390,272,76,176,30120769.35,20404294.1,4.8
Comedy Drama,http://www.imdb.com/title/tt0109348/?ref_=fn_tt_tt_1,4302,"BulletsOverBroadway, director: Woody Allen",1000,29385,11000,67,86,41272714.51,27619178.45,7.5
Comedy Drama,http://www.imdb.com/title/tt0116242/?ref_=fn_tt_tt_1,1614,"EveryoneSaysILoveYou, director: Woody Allen",1000,30083,11000,69,140,38752849.24,18845214.12,6.8
Comedy,http://www.imdb.com/title/tt0489282/?ref_=fn_tt_tt_1,4218,"StrangeWilderness, director: Fred Wolf",1000,18571,29,58,120,26555059.04,8730350.085,5.3
Comedy Drama,http://www.imdb.com/title/tt0151568/?ref_=fn_tt_tt_1,1690,"TopsyTurvy, director: Mike Leigh",1000,10037,608,103,202,35258558.02,10933250.45,7.4
Drama,http://www.imdb.com/title/tt1810683/?ref_=fn_tt_tt_1,5705,"LittleBoy, director: Alejandro Monteverde",1000,15978,38,45,122,21300480,6907704.128,7.4
Thriller Drama,http://www.imdb.com/title/tt2937898/?ref_=fn_tt_tt_1,3979,"AMostViolentYear, director: J.C. Chandor",1000,45799,78,350,180,21982095.36,6318900.591,7
Drama,http://www.imdb.com/title/tt1092082/?ref_=fn_tt_tt_1,3493,"Passchendaele, director: Paul Gross",1000,6904,329,25,102,26555059.04,5911717.781,6.5
Drama,http://www.imdb.com/title/tt0421238/?ref_=fn_tt_tt_1,2129,"TheProposition, director: John Hillcoat",1000,43205,214,168,232,28281775.2,2691624.624,7.4
Comedy Family,http://www.imdb.com/title/tt0356470/?ref_=fn_tt_tt_1,3092,"ACinderellaStory, director: Mark Rosman",1000,62861,15,69,232,28614730.88,77467870.24,5.9
Comedy,http://www.imdb.com/title/tt0088763/?ref_=fn_tt_tt_1,3230,"BacktotheFuture, director: Robert Zemeckis",1000,732212,0,198,809,52059970.09,581591413.8,8.5
Adventure Fantasy,http://www.imdb.com/title/tt0205461/?ref_=fn_tt_tt_1,2429,"ThomasandtheMagicRailroad, director: Britt Allcroft",1000,2855,2,47,119,32457005.93,27180747.22,3.6
Drama,http://www.imdb.com/title/tt1870529/?ref_=fn_tt_tt_1,3260,"WontBackDown, director: Daniel Barnz",1000,5147,33,102,37,22240886.17,6216390.896,6.4
Horror,http://www.imdb.com/title/tt0404032/?ref_=fn_tt_tt_1,2759,"TheExorcismofEmilyRose, director: Scott Derrickson",1000,96569,301,233,522,26268112.8,109556205,6.7
Comedy Drama,http://www.imdb.com/title/tt0205000/?ref_=fn_tt_tt_1,2604,"DeuceBigalowMaleGigolo, director: Mike Mitchell",1000,59380,31,91,202,31732702.22,115533598.1,5.7
Comedy Drama,http://www.imdb.com/title/tt0307987/?ref_=fn_tt_tt_1,3151,"BadSanta, director: Terry Zwigoff",1000,107815,72,195,485,27976170.57,93347665.59,7.1
Action,http://www.imdb.com/title/tt0093773/?ref_=fn_tt_tt_1,4223,"Predator, director: John McTiernan",1000,290949,323,217,629,81925645.37,66283729.36,7.8
Drama,http://www.imdb.com/title/tt0280707/?ref_=fn_tt_tt_1,3261,"GosfordPark, director: Robert Altman",1000,65201,500,187,651,29795293.08,68363818.49,7.3
Adventure Action,http://www.imdb.com/title/tt0082288/?ref_=fn_tt_tt_1,1263,"Dragonslayer, director: Matthew Robbins",1000,10832,25,60,102,55942466.13,18647488.71,6.7
Thriller Drama,http://www.imdb.com/title/tt0235737/?ref_=fn_tt_tt_1,4094,"TheSaltonSea, director: D.J. Caruso",1000,26730,154,79,180,28871408.03,1085401.337,7.2
Horror,http://www.imdb.com/title/tt0088993/?ref_=fn_tt_tt_1,1592,"DayoftheDead, director: George A. Romero",1000,49669,0,184,419,23899553.13,0,7.2
Thriller Drama,http://www.imdb.com/title/tt3212232/?ref_=fn_tt_tt_1,3212,"IAmWrath, director: Chuck Russell",1000,4510,55,23,50,18576000,0,5.2
Comedy Drama,http://www.imdb.com/title/tt2083355/?ref_=fn_tt_tt_1,5306,"TheBestManHoliday, director: Malcolm D. Lee",1000,11600,92,56,64,19282694.05,79995044.59,6.7
Comedy Drama,http://www.imdb.com/title/tt0243736/?ref_=fn_tt_tt_1,3294,"DaysandNights, director: Michael Lehmann",1000,62272,36,140,207,27267440.91,60854162.59,5.6
Horror,http://www.imdb.com/title/tt0454841/?ref_=fn_tt_tt_1,4500,"TheHillsHaveEyes, director: Alexandre Aja",1000,129719,192,265,855,24039508.92,59079020.57,6.4
Family,http://www.imdb.com/title/tt0159421/?ref_=fn_tt_tt_1,2020,"TheAdventuresofElmoinGrouchland, director: Gary Halvorson",1000,2045,11,44,37,29969774.32,20510710.62,5.8
Adventure Action,http://www.imdb.com/title/tt0094074/?ref_=fn_tt_tt_1,3007,"SupermanIVTheQuestforPeace, director: Sidney J. Furie",1000,33570,22,94,259,43736078.47,28885940.68,3.6
Comedy,http://www.imdb.com/title/tt0405336/?ref_=fn_tt_tt_1,2340,"SouthlandTales, director: Richard Kelly",1000,32671,219,173,238,23294097.79,377336.9793,5.5
Comedy Drama,http://www.imdb.com/title/tt0215129/?ref_=fn_tt_tt_1,3889,"RoadTrip, director: Todd Phillips",1000,132963,480,103,302,27332215.52,117059794.6,6.5
Comedy,http://www.imdb.com/title/tt0250720/?ref_=fn_tt_tt_1,4194,"SeeSpotRun, director: John Whitesell",1000,7392,14,51,53,26484704.96,55216431.89,5.4
Comedy Drama,http://www.imdb.com/title/tt0380277/?ref_=fn_tt_tt_1,3835,"TheCookout, director: Lance Rivera",1000,2385,3,21,20,24096615.48,17379852.59,3.6
Comedy Drama,http://www.imdb.com/title/tt0165710/?ref_=fn_tt_tt_1,2518,"DetroitRockCity, director: Adam Rifkin",1000,30682,89,42,194,28206846.42,7434469.696,6.8
Adventure Action,http://www.imdb.com/title/tt0091203/?ref_=fn_tt_tt_1,1852,"Highlander, director: Russell Mulcahy",1000,98629,85,112,316,42480595.75,15664719.68,7.2
Drama,http://www.imdb.com/title/tt0469623/?ref_=fn_tt_tt_1,1889,"ThingsWeLostintheFire, director: Susanne Bier",1000,24104,369,146,88,21923856.74,4504413.945,7.2
Comedy Drama,http://www.imdb.com/title/tt1545106/?ref_=fn_tt_tt_1,3086,"Vamps, director: Amy Heckerling",1000,7444,143,54,42,18729167.3,3934.295707,5.1
Thriller Drama,http://www.imdb.com/title/tt0376196/?ref_=fn_tt_tt_1,4329,"SlowBurn, director: Wayne Beach",1000,3299,7,40,24,21238736.22,1695830.873,5.9
Comedy Drama,http://www.imdb.com/title/tt0081375/?ref_=fn_tt_tt_1,2419,"PrivateBenjamin, director: Howard Zieff",1000,18140,6,25,60,48110520.87,224026152.9,6.1
Horror,http://www.imdb.com/title/tt2023587/?ref_=fn_tt_tt_1,1949,"Mama, director: Andríë©s Muschietti",1000,134869,127,393,304,17014141.81,81246134.13,6.2
Horror,http://www.imdb.com/title/tt0455857/?ref_=fn_tt_tt_1,2452,"WhenaStrangerCalls, director: Simon West",1000,34711,165,152,468,21211331.4,67678590.66,5
Comedy Drama,http://www.imdb.com/title/tt0372532/?ref_=fn_tt_tt_1,2666,"TheWeddingDate, director: Clare Kilner",1000,38248,6,103,250,21890094,46300460.2,6.1
Thriller Drama,http://www.imdb.com/title/tt0107711/?ref_=fn_tt_tt_1,2210,"NowheretoRun, director: Robert Harmon",1000,17074,11,25,55,31945081.03,47255376.59,5.5
Drama,http://www.imdb.com/title/tt0434215/?ref_=fn_tt_tt_1,3845,"Flicka, director: Michael Mayer",1000,6095,15,46,76,21211331.4,29696071.83,6.2
Adventure Action,http://www.imdb.com/title/tt0144964/?ref_=fn_tt_tt_1,2764,"HighlanderEndgame, director: Douglas Aarniokoski",1000,16340,36,90,355,25623952.05,21867805.25,4.6
Comedy Family,http://www.imdb.com/title/tt0361696/?ref_=fn_tt_tt_1,4676,"RaiseYourVoice, director: Sean McNamara",1000,22649,80,46,212,22590577.01,15680842.4,5.9
Comedy Drama,http://www.imdb.com/title/tt0484111/?ref_=fn_tt_tt_1,1245,"TheGoodNight, director: Jake Paltrow",1000,7519,17,50,39,20553615.7,30749.57932,5.9
Action,http://www.imdb.com/title/tt1971325/?ref_=fn_tt_tt_1,2829,"Automata, director: Gabe Ibíëííë±ez",1000,41638,19,136,134,16486571.52,0,6.1
Horror,http://www.imdb.com/title/tt0117894/?ref_=fn_tt_tt_1,2777,"Thinner, director: Tom Holland",1000,19805,85,73,122,27126994.47,29396894.17,5.7
Comedy Drama,http://www.imdb.com/title/tt0109504/?ref_=fn_tt_tt_1,3267,"Crooklyn, director: Spike Lee",1000,6011,0,25,39,28890900.15,26877142.5,6.9
Action,http://www.imdb.com/title/tt0211443/?ref_=fn_tt_tt_1,3050,"JasonX, director: James Isaac",1000,38985,52,205,673,22455539.58,21046542.69,4.4
Comedy Drama,http://www.imdb.com/title/tt0817177/?ref_=fn_tt_tt_1,4377,"Flipped, director: Rob Reiner",1000,60460,0,87,104,17453636.09,2188202.251,7.7
Comedy Drama,http://www.imdb.com/title/tt0937375/?ref_=fn_tt_tt_1,6554,"ThisChristmas, director: Preston A. Whitmore II",1000,6528,17,37,32,17813133.6,67308890.24,6.1
Thriller Drama,http://www.imdb.com/title/tt2011159/?ref_=fn_tt_tt_1,2297,"NoGoodDeed, director: Sam Miller",1000,12676,12,58,84,14508182.94,57750956.46,5.6
Comedy Drama,http://www.imdb.com/title/tt0120531/?ref_=fn_tt_tt_1,3352,"Woo, director: Daisy von Scherler Mayer",1000,1520,18,23,20,23651440.72,14672939.01,3.8
Comedy,http://www.imdb.com/title/tt1478964/?ref_=fn_tt_tt_1,2011,"AttacktheBlock, director: Joe Cornish",1000,82331,115,399,297,15704406.78,1237235.448,6.6
Horror,http://www.imdb.com/title/tt1232783/?ref_=fn_tt_tt_1,3142,"SororityRow, director: Stewart Hendler",1000,24012,10,167,126,16082278.97,15394320.25,5.1
Drama,http://www.imdb.com/title/tt0119843/?ref_=fn_tt_tt_1,2004,"OscarandLucinda, director: Gillian Armstrong",1000,5648,44,28,50,23469506.56,3028424.392,6.7
Horror,http://www.imdb.com/title/tt0070047/?ref_=fn_tt_tt_1,2466,"TheExorcist, director: William Friedkin",1000,284252,607,304,1058,47983058.49,809103711.5,8
Comedy,http://www.imdb.com/title/tt0481536/?ref_=fn_tt_tt_1,4065,"HaroldKumarEscapefromGuantanamoBay, director: Jon Hurwitz",1000,113918,22,153,165,15933035.42,50598976.09,6.6
Comedy Drama,http://www.imdb.com/title/tt0275022/?ref_=fn_tt_tt_1,1531,"Crossroads, director: Tamra Davis",1000,34219,33,111,578,19247605.35,59649398.83,3.3
Comedy Drama,http://www.imdb.com/title/tt0359517/?ref_=fn_tt_tt_1,5006,"JohnsonFamilyVacation, director: Christopher Erskin",1000,5928,4,45,49,18072461.61,46994370.12,4.3
Drama,http://www.imdb.com/title/tt2431286/?ref_=fn_tt_tt_1,2376,"Philomena, director: Stephen Frears",1000,76094,350,354,233,13611313.45,42773528.69,7.6
Thriller Drama,http://www.imdb.com/title/tt0077269/?ref_=fn_tt_tt_1,4659,"TheBoysfromBrazil, director: Franklin J. Schaffner",1000,20660,76,55,123,40991087.5,64902555.21,7
Drama,http://www.imdb.com/title/tt1821549/?ref_=fn_tt_tt_1,3798,"Nebraska, director: Alexander Payne",1000,91082,729,433,274,13611313.45,20025545.09,7.8
Action,http://www.imdb.com/title/tt0114608/?ref_=fn_tt_tt_1,3931,"TalesfromtheCryptDemonKnight, director: Ernest R. Dickerson",1000,16646,226,66,104,23995764.25,42170847.97,6.7
Comedy Drama,http://www.imdb.com/title/tt0120722/?ref_=fn_tt_tt_1,3250,"LivingOutLoud, director: Richard LaGravenese",1000,4052,98,24,88,21832099.13,23480242.5,6.6
Thriller Drama,http://www.imdb.com/title/tt0082934/?ref_=fn_tt_tt_1,1456,"ThePostmanAlwaysRingsTwice, director: Bob Rafelson",1000,16764,30,34,48,37294977.42,37916560.38,6.6
Action,http://www.imdb.com/title/tt0106950/?ref_=fn_tt_tt_1,4755,"Fortress, director: Stuart Gordon",1000,23383,216,58,68,25556064.82,14333923.97,5.9
Thriller Drama,http://www.imdb.com/title/tt0199626/?ref_=fn_tt_tt_1,1171,"IntheCut, director: Jane Campion",1000,18632,319,138,354,18650780.38,7332018.096,5.3
Comedy Drama,http://www.imdb.com/title/tt0238924/?ref_=fn_tt_tt_1,1292,"TheDangerousLivesofAltarBoys, director: Peter Care",1000,12047,0,78,122,19247605.35,2853913.02,7.1
Drama,http://www.imdb.com/title/tt3453052/?ref_=fn_tt_tt_1,2059,"DaysinaMadhouse, director: Timothy Hines",1000,314,0,1,10,12780288,15566.39078,7.5
Comedy Drama,http://www.imdb.com/title/tt0097815/?ref_=fn_tt_tt_1,3435,"MajorLeague, director: David S. Ward",1000,49007,42,57,97,26571997.89,120281902.4,7.2
Comedy Drama,http://www.imdb.com/title/tt0082517/?ref_=fn_tt_tt_1,3931,"HistoryoftheWorldPartI, director: Mel Brooks",1000,36559,0,48,131,34187062.63,98433877.07,6.9
Comedy Drama,http://www.imdb.com/title/tt0246989/?ref_=fn_tt_tt_1,2729,"Tomcats, director: Gregory Poirier",1000,15427,5,75,121,18208234.66,22443700.13,5.3
